062951470133,$0.00
073933415963,"$6,407.96"
233466153464,"$23,436.83"
235494797904,"$1,828.24"
284954390955,"$32,728.09"
331238891350,$453.84
339712813083,"$32,258.79"
400210543042,$412.07
497723851829,"$116,319.27"
546885038385,"$1,000.54"
568064661016,"$3,233.09"
585876524959,"$13,154.71"
605134457544,"$16,883.68"
654654353366,"$25,087.88"
767397766098,"$4,812.64"
785080043467,"$6,743.73"
054736553085,"$11,845.35"
197545325174,"$22,393.16"
332999210940,$132.10
832337494075,"$2,016.40"
869578675382,$624.05
992382782732,"$11,124.29"
664220444271,"$3,938.27"
054736553085,"$11,845.35"